HFDTLT,LBLHFDTLT,GEWASGROEP,Label,CODE9,LABEL_2019_ENG,CODE9_EN
36,Spelt,"Granen, zaden en peulvruchten",Épeautre,EPEAUTRE,Spelt,SPELT
37,Boekweit,"Granen, zaden en peulvruchten",Sarrasin,SARRASIN,Buckwheat,BUCKWHEAT
381,Sorghum,"Granen, zaden en peulvruchten",Sorgho,SORGHO,Sorghum,SORGHUM
382,Quinoa,"Granen, zaden en peulvruchten",céréales,CEREALES,Cereal,CEREAL
39,Andere granen (bv. Mengkoren),"Granen, zaden en peulvruchten",Céréales,CEREALES,Cereal,CEREAL
603,Zaaizaad graangewassen,"Granen, zaden en peulvruchten",Céréales,CEREALES,Cereal,CEREAL
383,Gierst,"Granen, zaden en peulvruchten",Millet,MILLET,Mil,MIL
4111,Winterkoolzaad,"Granen, zaden en peulvruchten",Colza d'hiver,COLZA_H,Winter rapeseed,RAPE_W
4112,Winterraapzaad,"Granen, zaden en peulvruchten",Colza d'hiver,COLZA_H,Winter rapeseed,RAPE_W
4121,Zomerkoolzaad,"Granen, zaden en peulvruchten",Colza de printemps,COLZA_P,Spring rapeseed,RAPE_S
42,Zonnebloempitten,"Granen, zaden en peulvruchten",Tournesol,TOURNESOL,Sunflower,SUNFLOWER
43,Sojabonen,"Granen, zaden en peulvruchten",Soja,SOJA,Soybean,SOYBEAN
44,Andere oliehoudende zaden,"Granen, zaden en peulvruchten",Autres oléagineux,AUTR_OLEA,Other oleaginous / oil seed,OT_OLEA
604,Zaaizaad olie- en vezelhoudende planten,"Granen, zaden en peulvruchten",Autres oléagineux,AUTR_OLEA,Other oleaginous / oil seed,OT_OLEA
51,Voedererwten (niet voor menselijke consumptie),"Granen, zaden en peulvruchten",Pois de printemps,POIS_P,Spring peas,PEA_S
52,Tuin- en veldbonen (niet voor menselijke consumptie),"Granen, zaden en peulvruchten",Fève,FEVE,bean (broad bean / fava bean),BEAN
832,Tuin- en veldbonen (Vicia faba) - industrie,"Groenten, kruiden en sierplanten",Fève,FEVE,bean (broad bean / fava bean),BEAN
932,Tuin- en veldbonen (Vicia faba) - vers,"Groenten, kruiden en sierplanten",Fève,FEVE,bean (broad bean / fava bean),BEAN
53,Niet-bittere lupinen,"Granen, zaden en peulvruchten",Lupin de printemps,LUPIN_P,Spring Lupin,LUPIN_S
541,Mengteelt wintertarwe of triticale en vlinderbloemige,"Granen, zaden en peulvruchten",Mélange de céréales,ML_CEREAL,Cereal mixture,CEREAL_MX
542,Mengteelt  andere granen en vlinderbloemige (bv. erwten en gerst,"Granen, zaden en peulvruchten",Mélange de céréales,ML_CEREAL,Cereal mixture,CEREAL_MX
60,Grasland,Grasland,Herbe prédominante,HERB_PRED,Grass prevailing,GRASS_PRE
601,Zaaizaad grassen,Grasland,Herbe prédominante,HERB_PRED,Grass prevailing,GRASS_PRE
63,Graskruiden mengsel,Grasland,Herbe prédominante,HERB_PRED,Grass prevailing,GRASS_PRE
955,Graszoden,Grasland,Herbe prédominante,HERB_PRED,Grass prevailing,GRASS_PRE
9828,Natuurlijk grasland met minimumactiviteit,Grasland,Herbe prédominante,HERB_PRED,Grass prevailing,GRASS_PRE
9829,Natuurlijk grasland zonder minimumactiviteit,Grasland,Herbe prédominante,HERB_PRED,Grass prevailing,GRASS_PRE
638,Festulolium,Overige gewassen,Herbe prédominante,HERB_PRED,Grass prevailing,GRASS_PRE
653,Soedangras,Overige gewassen,Herbe prédominante,HERB_PRED,Grass prevailing,GRASS_PRE
8,Volkstuinpark,Overige gewassen,Herbe prédominante,HERB_PRED,Grass prevailing,GRASS_PRE
81,Braakliggend land zonder minimale activiteit,Overige gewassen,Herbe prédominante,HERB_PRED,Grass prevailing,GRASS_PRE
82,Braakliggend land met minimale activiteit zonder EAG,Overige gewassen,Herbe prédominante,HERB_PRED,Grass prevailing,GRASS_PRE
89,Braakliggend land met minimale activiteit met EAG,Overige gewassen,Herbe prédominante,HERB_PRED,Grass prevailing,GRASS_PRE
745,Mengsel van gras en vlinderbloemigen (andere dan grasklaver of g,Voedergewassen,Herbe prédominante,HERB_PRED,Grass prevailing,GRASS_PRE
9823,Weiland met niet-oogstbare bomen (> 100 bomen per ha),Grasland,Bois pâturé,BOIS_PATU,Pasture wood,WOOD_PAS
9827,Weiland met oogstbare hoogstam bomen (> 100 bomen/ha),Grasland,Bois pâturé,BOIS_PATU,Pasture wood,WOOD_PAS
