LBLHFDTLT,GEWASGROEP
Eenjarige luzerne,Voedergewassen
Mengsel van gras en vlinderbloemigen (andere dan grasklaver of g,Voedergewassen
Eenjarige klaver,Voedergewassen
Meerjarige luzerne,Voedergewassen
Grasluzerne,Voedergewassen
Voederwortelen,Voedergewassen
Mengsel van vlinderbloemigen,Voedergewassen
Meerjarige klaver,Voedergewassen
Andere voedergewassen,Voedergewassen
Rode klaver,Voedergewassen
Wikke,Voedergewassen
Voederrapen,Voedergewassen
Voederkool (bladkool),Voedergewassen
"Poelen <= 0,1 ha",Water
Bos,
